,Id,Target,abastaguadentro,abastaguano,area1,area2,cielorazo,computer,dis-max,dis-min,dis-range_,dis-sum,elimbasu1,elimbasu2,elimbasu3,elimbasu4,energcocinar1,energcocinar2,energcocinar3,energcocinar4,epared1,epared2,epared3,estadocivil1-max,estadocivil2-max,estadocivil2-range_,estadocivil3-max,estadocivil3-min,estadocivil3-range_,estadocivil4-max,estadocivil4-min,estadocivil4-range_,estadocivil5-max,estadocivil5-range_,estadocivil5-sum,estadocivil6-max,estadocivil6-min,estadocivil6-range_,estadocivil7-max,estadocivil7-range_,etecho1,etecho2,etecho3,eviv1,eviv2,eviv3,hacapo,hacdor,hogar_mayor,idhogar,instlevel1-max,instlevel1-min,instlevel2-max,instlevel2-min,instlevel2-range_,instlevel3-max,instlevel3-min,instlevel3-range_,instlevel4-max,instlevel4-min,instlevel4-range_,instlevel5-max,instlevel5-sum,instlevel7-max,instlevel7-sum,instlevel8-max,instlevel8-min,instlevel8-range_,instlevel9-max,instlevel9-range_,lugar1,lugar3,lugar4,lugar5,male-min,mobilephone-min,noelec,paredblolad,pareddes,paredfibras,paredmad,paredpreb,paredzinc,paredzocalo,parentesco2-max,parentesco3-max,parentesco4-max,parentesco6-max,pisocemento,pisomadera,pisomoscer,pisonatur,pisonotiene,refrig,sanitario2,sanitario3,sanitario5,techocane,television,tipovivi2,tipovivi4,tipovivi5,v14a,v18q-min,v2a1-missing,age-max,age-min,age-range_,age-std,age-sum,bedrooms,dependency,edjefa,edjefe,escolari-max,escolari-min,escolari-range_,escolari-std,escolari-sum,estadocivil1-sum,estadocivil7-sum,hhsize-diff,hogar_adul,hogar_nin,instlevel1-sum,instlevel2-sum,instlevel3-sum,instlevel4-sum,instlevel8-sum,meaneduc,overcrowding,parentesco11-sum,parentesco3-sum,parentesco4-sum,parentesco6-sum,phones-per-capita,qmobilephone,r4h1,r4h2,r4h3,r4m1,r4m2,r4m3,r4t1,r4t2,r4t3,rent-per-capita,rez_esc-max,rooms,rooms-per-capita,tablets-per-capita,tamviv,v18q-sum,v18q1,v2a1
0,ID_279628684,4,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,21eb7fcc1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,False,43,43,0,0.0,43,1,0.0,0,10,10,10,0,0.0,10,0,0,0,1,0,0,0,0,1,0,10.0,1.0,0,0,0,0,1.0,1,0,1,1,0,0,0,0,1,1,190000.0,0.0,3,3.0,0.0,1,0,0.0,190000.0
1,ID_f29eb3ddd,4,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0e5d7a658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,False,67,67,0,0.0,67,1,8.0,0,12,12,12,0,0.0,12,0,0,0,1,0,0,0,0,0,1,12.0,1.0,0,0,0,0,1.0,1,0,1,1,0,0,0,0,1,1,135000.0,0.0,4,4.0,1.0,1,1,1.0,135000.0
2,ID_68de51c94,4,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,2c7317ea8,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,False,92,92,0,0.0,92,2,8.0,11,0,11,11,0,0.0,11,0,0,0,1,0,0,0,0,0,0,11.0,0.5,0,0,0,0,0.0,0,0,0,0,0,1,1,0,1,1,0.0,0.0,8,8.0,0.0,1,0,0.0,0.0
3,ID_ec05b1a7b,4,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,2b58d945f,0,0,1,0,1,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,False,38,8,30,14.89966442575134,100,3,1.0,0,11,11,2,9,4.272001872658765,33,1,1,0,2,2,0,1,0,1,0,11.0,1.3333334,0,2,0,0,0.75,3,0,2,2,1,1,2,1,3,4,45000.0,1.0,5,1.25,0.25,4,4,1.0,180000.0
4,ID_1284f8aad,4,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,d6dae86b7,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,False,30,7,23,11.69045194450012,76,1,1.0,0,9,11,0,11,5.123475382979799,23,1,1,0,2,2,1,1,0,1,0,10.0,4.0,0,2,0,0,0.25,1,0,1,1,2,1,3,2,2,4,32500.0,1.0,2,0.5,0.0,4,0,0.0,130000.0
5,ID_d94071d7c,4,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,bb2094100,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,False,34,18,16,11.31370849898476,52,2,1.0,11,0,12,11,1,0.7071067811865476,23,0,1,0,1,1,0,0,0,0,0,23.0,1.0,0,1,0,0,0.5,1,0,0,0,0,2,2,0,2,2,50000.0,0.0,3,1.5,0.0,2,0,0.0,100000.0
6,ID_064b57869,4,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,1,c51f9c774,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,False,79,39,40,28.284271247461906,118,2,1.0,4,0,15,4,11,7.7781745930520225,19,0,1,0,2,0,0,1,0,0,1,9.5,1.0,0,1,0,0,0.5,1,0,1,1,0,1,1,0,2,2,0.0,0.0,4,2.0,0.5,2,2,1.0,0.0
7,ID_c51938edf,4,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,1,6893e65ca,0,0,1,0,1,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,False,70,19,51,25.039968051097826,158,1,3.0,10,0,11,2,9,4.358898943540674,34,0,1,0,2,2,0,1,0,1,0,17.0,4.0,0,1,0,0,0.25,1,0,2,2,0,2,2,0,4,4,22500.0,0.0,2,0.5,0.0,4,0,0.0,90000.0
8,ID_74a2bc523,4,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,d29058053,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,False,26,22,4,2.8284271247461903,48,2,0.0,0,15,15,12,3,2.1213203435596424,27,0,0,0,2,0,0,0,0,0,1,13.5,1.0,0,0,0,0,1.0,2,0,1,1,0,1,1,0,2,2,107500.0,0.0,4,2.0,0.0,2,0,0.0,215000.0
9,ID_15d393ce7,4,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,ec0e8edce,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,False,69,66,3,2.1213203435596424,135,1,8.0,0,4,16,4,12,8.48528137423857,20,0,0,0,2,0,0,1,0,0,1,10.0,2.0,0,0,0,0,0.5,1,0,1,1,0,1,1,0,2,2,75000.0,0.0,3,1.5,0.0,2,0,0.0,150000.0
